# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
331	2318	2318	translate	B1	60858	verb
332	2319	2319	translation	B1	60895	noun
333	2320	2320	treat	B1	60879	verb
334	2321	2321	treatment	B1	60851	noun
335	2322	2322	trend	B1	60937	noun
336	2323	2323	trick	B1	60951	noun
337	2324	2324	truth	B1	60976	noun
338	2325	2325	tube	B1	60989	noun
339	2326	2326	typically	B1	60974	adv
340	2327	2327	tyre	B1	61001	noun
341	2328	2328	ugly	B1	61017	adj
342	2329	2329	unable	B1	61007	adj
343	2330	2330	uncomfortable	B1	61009	adj
344	2331	2331	underwear	B1	61038	noun
345	2332	2332	unemployed	B1	61014	adj
346	2334	2334	unfair	B1	61032	adj
347	2335	2335	union	B1	61043	noun
348	2336	2336	unless	B1	61040	conj
349	2337	2337	unlike	B1	61058	adj
350	2338	2338	unlikely	B1	61069	adj
351	2339	2339	unnecessary	B1	61074	adj
352	2340	2340	unpleasant	B1	61073	adj
353	2341	2341	update	B1	61076	noun
354	2342	2342	upon	B1	61085	prep
355	2343	2343	upset	B1	61092	adj
356	2344	2344	valuable	B1	61086	adj
357	2345	2345	value	B1	61128	noun
358	2346	2346	various	B1	61089	det
359	2347	2347	version	B1	61110	noun
360	2348	2348	victim	B1	61142	noun
361	2349	2349	viewer	B1	61121	noun
362	2350	2350	violent	B1	61151	adj
363	2351	2351	volunteer	B1	61167	noun
364	2352	2352	vote	B1	61178	noun
365	2353	2353	warn	B1	61159	verb
366	2354	2354	warning	B1	61187	verb
367	2355	2355	waste	B1	61210	noun
368	2356	2356	weapon	B1	61190	noun
369	2357	2357	weigh	B1	61197	verb
370	2358	2358	western	B1	61246	adj
371	2359	2359	whatever	B1	61250	noun
372	2360	2360	whenever	B1	61239	conj
373	2361	2361	whether	B1	61268	conj
374	2362	2362	wing	B1	61295	noun
375	2363	2363	within	B1	61263	prep
376	2364	2364	wonder	B1	61274	noun
377	2365	2365	wool	B1	61287	noun
378	2366	2366	worldwide	B1	61285	adj
379	2367	2367	worth	B1	61342	adj
380	2368	2368	written	B1	61338	adj
381	2369	2369	yard	B1	61376	noun
382	2370	2370	youth	B1	61351	noun
383	2371	2371	abandon	B2	61367	verb
384	2372	2372	absolute	B2	61399	adj
385	2373	2373	acceptable	B2	61356	adj
386	2374	2374	accompany	B2	61359	verb
387	2375	2375	accurate	B2	61429	adj
388	2376	2376	accuse	B2	61439	verb
389	2377	2377	acknowledge	B2	61434	verb
390	2378	2378	acquire	B2	61443	verb
391	2379	2379	actual	B2	61448	adj
392	2380	2380	adapt	B2	61458	verb
393	2381	2381	additional	B2	61456	adj
394	2382	2382	administration	B2	61482	noun
395	2383	2383	adopt	B2	61463	verb
396	2384	2384	advance	B2	61509	verb
397	2385	2385	affair	B2	61472	noun
398	2386	2386	afterwards	B2	61481	adv
399	2387	2387	agency	B2	61496	noun
400	2388	2388	agenda	B2	61502	noun
401	2389	2389	aggressive	B2	61489	adj
402	2390	2390	aid	B2	61534	noun
403	2391	2391	aircraft	B2	61532	noun
404	2392	2392	alter	B2	61544	verb
